id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1593904893261029377,1593904893261029377,2022-11-19 16:51:54 SE Asia Standard Time,2022-11-19,16:51:54,+0700,1593430344975323136,deli_sakina,Deli sakina,,"Sebentar lagi World Cup di QATAR nih sobat. siapa yang masih bingung nonton nya di mana,,kuy segera berlangganan Vidio dari indihome Tv   #IndiHome #NetflixbyIndiHome #PahlawanDariKita  https://t.co/m8GzA3RKtM",in,[],[],[],0,0,0,"['indihome', 'netflixbyindihome', 'pahlawandarikita']",[],https://twitter.com/deli_sakina/status/1593904893261029377,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1593904797232508928/pu/img/HRt64bHFahbgvkNz.jpg,,,,,,,[],,,,
1593904730476249088,1593904730476249088,2022-11-19 16:51:15 SE Asia Standard Time,2022-11-19,16:51:15,+0700,1593406730565607425,lennandaa,LennandaSandopa,,"Sebentar lagi World Cup di QATAR nih sobat. siapa yang masih bingung nonton nya di mana,,kuy segera berlangganan Vidio dari indihome Tv   #IndiHome #NetflixbyIndiHome #PahlawanDariKita  https://t.co/yHgtrB349T",in,[],[],[],0,0,0,"['indihome', 'netflixbyindihome', 'pahlawandarikita']",[],https://twitter.com/Lennandaa/status/1593904730476249088,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1593904658279387137/pu/img/ZOaZNsPZQPdZXcoL.jpg,,,,,,,[],,,,
1593904696384970753,1593904696384970753,2022-11-19 16:51:07 SE Asia Standard Time,2022-11-19,16:51:07,+0700,439173084,_rurusteve,Ruru,,"@IndiHome Ini apa sih tim Indihome, saya nanya paket, dibilang yang lebih rendah ngga ada, pas cek di internet ada 🤣 kayak ngga ada integritas",in,[],[],[],1,0,0,[],[],https://twitter.com/_rurusteve/status/1593904696384970753,False,,0,,,,,,,,[],,,,
1593904566705479680,1593904566705479680,2022-11-19 16:50:36 SE Asia Standard Time,2022-11-19,16:50:36,+0700,1593246205081182209,yulia_sugina,yulia sugina,,"Sebentar lagi World Cup di QATAR nih sobat. siapa yang masih bingung nonton nya di mana,,kuy segera berlangganan Vidio dari indihome Tv  #IndiHome #NetflixbyIndiHome #PahlawanDariKita  https://t.co/DcorEy9Tud",in,[],[],[],0,0,0,"['indihome', 'netflixbyindihome', 'pahlawandarikita']",[],https://twitter.com/yulia_sugina/status/1593904566705479680,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1593904487764066304/pu/img/LYs-wd-RwZAZX59S.jpg,,,,,,,[],,,,
1593904554349072384,1593904554349072384,2022-11-19 16:50:33 SE Asia Standard Time,2022-11-19,16:50:33,+0700,1593228621568970752,viliananugerah1,Vilian anugerah,,"Sebentar lagi piala dunia dimulai nih guys, kalian dukung tim mana nih,..Biar streamingnya makin mantap Buruan daftar paket Early Bird nya Video di IndihomeTv yukkyukk !!!😍 #IndiHome #NetflixbyIndiHome #PahlawanDariKita  https://t.co/KOmKHRLceI",in,[],[],[],0,0,0,"['indihome', 'netflixbyindihome', 'pahlawandarikita']",[],https://twitter.com/viliananugerah1/status/1593904554349072384,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1593903982828654592/pu/img/oCPImuWRkSdQwgZg.jpg,,,,,,,[],,,,
1593904540428140547,1593904540428140547,2022-11-19 16:50:30 SE Asia Standard Time,2022-11-19,16:50:30,+0700,1482198422782640130,a_winter_flower,🐻‍❄,,WTS voucher shopee diskon 25k tagihan indihome fee 10k #zonauang  https://t.co/v8VY65smE1,tl,[],[],['https://pbs.twimg.com/media/Fh6vulbaAAARlZ0.jpg'],0,0,0,['zonauang'],[],https://twitter.com/a_winter_flower/status/1593904540428140547,False,,1,https://pbs.twimg.com/media/Fh6vulbaAAARlZ0.jpg,,,,,,,[],,,,
1593903900779720704,1593903900779720704,2022-11-19 16:47:57 SE Asia Standard Time,2022-11-19,16:47:57,+0700,1593205116080771078,baharudinnbahar,Baharudin,,"Sebentar lagi piala dunia dimulai nih guys, kalian dukung tim mana nih,..Biar streamingnya makin mantap Buruan daftar paket Early Bird nya Video di IndihomeTv yukkyukk !!!😍 #IndiHome #NetflixbyIndiHome #PahlawanDariKita  https://t.co/BkWrFvU7SW",in,[],[],[],0,0,0,"['indihome', 'netflixbyindihome', 'pahlawandarikita']",[],https://twitter.com/baharudinnbahar/status/1593903900779720704,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1593903751391113217/pu/img/_ltduj2m87024K4E.jpg,,,,,,,[],,,,
1593903469923999744,1593903469923999744,2022-11-19 16:46:15 SE Asia Standard Time,2022-11-19,16:46:15,+0700,1581884899560423424,berburusales,BerburuSale - Base Diskon Kukka,,/info barang kali ada yg punya 15rb koin indihome  https://t.co/sdPdOGmEit,in,[],[],['https://pbs.twimg.com/media/Fh6uwVLVQAAMldI.jpg'],6,2,18,[],[],https://twitter.com/berburusales/status/1593903469923999744,False,,1,https://pbs.twimg.com/media/Fh6uwVLVQAAMldI.jpg,,,,,,,[],,,,
1593903350105477120,1593903350105477120,2022-11-19 16:45:46 SE Asia Standard Time,2022-11-19,16:45:46,+0700,1330546824445382657,_4dinata,Adinata,,pada video ini kita membahas cara Pasang Kartu Smartfren Di Modem Telkomsel Orbit  Promo Indihome Diskon hingga 75% :  👉  https://t.co/n1KLnppUCx  Tutorial WIFI &amp; Router :  👉  https://t.co/psyfRQAbA7  #midteknologi  #telkomselorbit  #PasangKartuSmartfrenDiModemOrbit  https://t.co/j6ApLkPLcm,in,[],"['https://bit.ly/promoindihomee', 'https://bit.ly/midteknologi']",[],0,0,0,"['midteknologi', 'telkomselorbit', 'pasangkartusmartfrendimodemorbit']",[],https://twitter.com/_4dinata/status/1593903350105477120,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1593903254584311809/pu/img/qZqKwbayhwkfOPFu.jpg,,,,,,,[],,,,
1593902992998035457,1593902992998035457,2022-11-19 16:44:21 SE Asia Standard Time,2022-11-19,16:44:21,+0700,1593202523149475840,desyyusvira523,Desyyusvira,,"Sebentar lagi piala dunia dimulai nih guys, kalian dukung tim mana nih,..Biar streamingnya makin mantap Buruan daftar paket Early Bird nya Video di IndihomeTv yukkyukk !!!😍 #IndiHome #NetflixbyIndiHome #PahlawanDariKita  https://t.co/6yhOwp3jdH",in,[],[],[],0,0,0,"['indihome', 'netflixbyindihome', 'pahlawandarikita']",[],https://twitter.com/desyyusvira523/status/1593902992998035457,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1593902914359087105/pu/img/Es7q4F_6t95uhG_T.jpg,,,,,,,[],,,,
1593902746415271937,1593900960341929985,2022-11-19 16:43:22 SE Asia Standard Time,2022-11-19,16:43:22,+0700,1472956458329272323,nan4ngismail,Nangis 😈,,@sunafterwinter kabarnya dia pake indihome,in,[],[],[],1,0,0,[],[],https://twitter.com/nan4ngIsmail/status/1593902746415271937,False,,0,,,,,,,,"[{'screen_name': 'sunafterwinter', 'name': 'nay', 'id': '1302448354446602241'}]",,,,
1593902618732277760,1593902618732277760,2022-11-19 16:42:52 SE Asia Standard Time,2022-11-19,16:42:52,+0700,1322097353503895552,brendatancity,Bren˙८ ˙ || lagi limit 😭,,Indihome tv erorr kah?,tl,[],[],[],1,0,0,[],[],https://twitter.com/brendatancity/status/1593902618732277760,False,,0,,,,,,,,[],,,,
1593902431976710144,1593902431976710144,2022-11-19 16:42:07 SE Asia Standard Time,2022-11-19,16:42:07,+0700,273624993,_adityakirana,Aditya Kirana,,Jaringan @IndiHome menjijikkan bgt. Muter YouTube aja buffer mulu.,in,"[{'screen_name': 'indihome', 'name': 'indihome', 'id': '1075673058931806208'}]",[],[],1,0,0,[],[],https://twitter.com/_adityakirana/status/1593902431976710144,False,,0,,,,,,,,[],,,,
1593902328406757376,1593902328406757376,2022-11-19 16:41:43 SE Asia Standard Time,2022-11-19,16:41:43,+0700,1547136652992458753,chandrumaroju,Chandru DHFM😎,, https://t.co/eCb4KDrxWu #GooglePay  #Indihome  #GPay  #gpaycinemahall  #gpayindihome  #gpaycricketstadium,qme,[],['http://gpay.app.goo.gl/Jghghw'],[],10,0,1,"['googlepay', 'indihome', 'gpay', 'gpaycinemahall', 'gpayindihome', 'gpaycricketstadium']",[],https://twitter.com/ChandruMaroju/status/1593902328406757376,False,,0,,,,,,,,[],,,,
